atomic_ea_max,atomic_en_allredroch_sum,atomic_radius_max,atomic_radius_calculated_max,bulk_mod_max,covalent_rad_emp_max,covalent_rad_emp_sum,electrical_resist_max,rigidity_mod_max,van_der_waals_rad_mean,entalpia_oxides_min,entropia_oxides_min,Z_sum,phase_disambiguated
12.5,1.15375,46.25,52.0,27.5,37.5,94.75,18.5,8.25,53.375,-476324.6125,-74.503,56.125,fluorite
10.0,1.14,37.0,44.40000000000001,22.0,32.4,92.0,14.8,6.600000000000001,53.67999999999999,-762119.38,-119.2048,55.8,fluorite
12.5,1.15125,46.25,52.0,27.5,37.5,116.5,18.5,8.25,53.075,-476324.6125,-74.503,49.875,fluorite
12.5,1.16,46.25,52.0,27.5,37.5,94.75,18.5,8.25,53.5,-476324.6125,-74.503,55.375,fluorite
10.0,1.15,37.0,46.6,22.0,32.4,92.0,26.2,6.600000000000001,53.88,-762119.38,-119.2048,54.59999999999999,fluorite
12.5,1.15375,46.25,52.0,27.5,37.5,74.5,18.5,8.25,53.475,-454912.9875,-73.501625,59.25,fluorite
10.0,1.14,37.0,46.6,22.0,30.0,59.6,26.2,6.600000000000001,53.84,-727860.78,-117.6026,60.8,fluorite
22.4,1.65,28.0,33.2,36.0,27.8,127.6,28.8,23.0,48.56,-450821.78,-109.7254,26.0,spinel
22.4,1.65,28.0,33.2,36.0,27.8,127.6,28.8,23.0,48.56,-450821.78,-109.7254,26.0,spinel
24.0,1.384,97.5,16.1,18.0,84.5,149.4,30.75,8.200000000000001,44.95,-1793682.4,-293.9765,42.0,perovskite
28.33475,1.51565,83.33749999999999,78.6706,50.6692,78.6706,122.2924,9.6048,17.3342,38.49688333333333,-2234411.18164,-417.8455579,16.73445310937812,spinel
22.4,1.67,28.0,32.2,36.0,27.8,128.4,28.8,16.4,48.32000000000001,-380885.64,-109.7254,27.2,spinel
18.6704,1.553644,24.1715,27.8389,30.006,23.1713,129.3592,24.0048,13.6694,39.45233333333332,-317468.18094,-91.4561209,23.16666666666666,spinel
23.68,1.618,30.0,30.4,36.0,27.6,129.2,1.44,15.2,48.32000000000001,-240601.72,-77.1958,25.2,rock salt
14.34426,1.191622,35.8405,42.17509999999999,28.322,33.0066,162.6716,23.9904,7.3348,44.33384999999999,-632919.69748,-149.3290778,33.6668,perovskite
19.73728,1.651997,23.338,27.6722,30.006,23.1713,131.0262,24.0048,19.1705,40.31361666666666,-375759.9536299999,-91.4561209,26.83333333333333,spinel
23.68,1.588,30.0,32.2,36.0,27.8,132.8,28.8,15.0,48.52,-380885.64,-102.2912,24.6,spinel
