atomic_ea_max,atomic_en_allredroch_sum,atomic_en_sanderson_max,atomic_hfu_max,atomic_radius_max,atomic_radius_calculated_max,atomic_radius_calculated_sum,atomic_spacegroupnum_mean,bulk_mod_max,covalent_rad_emp_max,covalent_rad_emp_sum,density_of_solid_max,electrical_resist_max,rigidity_mod_max,van_der_waals_rad_mean,entalpia_oxides_min,entropia_oxides_min,deltaCp_oxides_max,oxidation_sum,Z_max,Z_sum,phase_disambiguated
12.5,1.15375,0.225,6.375,46.25,52.0,157.75,39.575,27.5,37.5,94.75,3327.5,18.5,8.25,53.375,-476324.6125,-74.503,4.5095,3.625,18.0,56.125,fluorite
10.0,1.14,0.18,5.100000000000001,37.0,44.40000000000001,169.6,40.04000000000001,22.0,32.4,92.0,2662.0,14.8,6.600000000000001,53.67999999999999,-762119.38,-119.2048,7.2152,3.5,14.4,55.8,fluorite
12.5,1.15125,0.225,6.375,46.25,52.0,154.25,39.575,27.5,37.5,116.5,3327.5,18.5,8.25,53.075,-476324.6125,-74.503,1.589125,3.5,18.0,49.875,fluorite
12.5,1.16,0.225,6.375,46.25,52.0,159.125,38.8,27.5,37.5,94.75,3327.5,18.5,8.25,53.5,-476324.6125,-74.503,1.589125,3.625,18.0,55.375,fluorite
10.0,1.15,0.18,5.100000000000001,37.0,46.6,171.8,38.8,22.0,32.4,92.0,2662.0,26.2,6.600000000000001,53.88,-762119.38,-119.2048,2.5426,3.5,14.4,54.59999999999999,fluorite
12.5,1.15375,0.225,6.375,46.25,52.0,160.375,39.575,27.5,37.5,74.5,3327.5,18.5,8.25,53.475,-454912.9875,-73.501625,4.5095,3.625,18.0,59.25,fluorite
10.0,1.14,0.18,5.100000000000001,37.0,46.6,173.8,40.04000000000001,22.0,30.0,59.6,2662.0,26.2,6.600000000000001,53.84,-727860.78,-117.6026,7.2152,3.5,14.4,60.8,fluorite
22.4,1.65,0.512,4.100000000000001,28.0,33.2,156.8,43.76000000000001,36.0,27.8,127.6,1781.6,28.8,23.0,48.56,-450821.78,-109.7254,14.3822,3.166666666666667,5.600000000000001,26.0,spinel
22.4,1.65,0.512,4.100000000000001,28.0,33.2,156.8,43.76000000000001,36.0,27.8,127.6,1781.6,28.8,23.0,48.56,-450821.78,-109.7254,14.3822,3.166666666666667,5.600000000000001,26.0,spinel
24.0,1.384,0.256,3.1,97.5,16.1,76.30000000000001,34.33333333333334,18.0,84.5,149.4,3073.0,30.75,8.200000000000001,44.95,-1793682.4,-293.9765,10.684,2.833333333333333,28.5,42.0,perovskite
28.33475,1.51565,1.140057,7.133689999999999,83.33749999999999,78.6706,128.829,36.72933333333333,50.6692,78.6706,122.2924,1800.09,9.6048,17.3342,38.49688333333333,-2234411.18164,-417.8455579,1.5322991,2.855512230887156,8.665366926614677,16.73445310937812,spinel
22.4,1.67,0.512,3.44,28.0,32.2,152.0,42.36000000000001,36.0,27.8,128.4,1781.6,28.8,16.4,48.32000000000001,-380885.64,-109.7254,4.8186,2.666666666666667,6.0,27.2,spinel
18.6704,1.553644,0.426752,2.86724,24.1715,27.8389,154.5309,35.78493333333333,30.006,23.1713,129.3592,1484.9636,24.0048,13.6694,39.45233333333332,-317468.18094,-91.4561209,4.0163031,2.388888888888888,5.0,23.16666666666666,spinel
23.68,1.618,0.512,3.44,30.0,30.4,146.6,41.28000000000001,36.0,27.6,129.2,1784.0,1.44,15.2,48.32000000000001,-240601.72,-77.1958,1.71504,2.1,6.0,25.2,rock salt
14.34426,1.191622,0.36652,4.46488,35.8405,42.17509999999999,200.1708,36.63878333333333,28.322,33.0066,162.6716,1427.762,23.9904,7.3348,44.33384999999999,-632919.69748,-149.3290778,3.8273018,3.221933333333333,9.3352,33.6668,perovskite
19.73728,1.651997,0.426752,3.41735,23.338,27.6722,153.6974,35.78493333333333,30.006,23.1713,131.0262,1486.964,24.0048,19.1705,40.31361666666666,-375759.9536299999,-91.4561209,11.9875637,2.972222222222222,5.0,26.83333333333333,spinel
23.68,1.588,0.512,3.24,30.0,32.2,149.0,40.96000000000001,36.0,27.8,132.8,1784.0,28.8,15.0,48.52,-380885.64,-102.2912,4.5946,2.566666666666666,6.0,24.6,spinel
17.22,1.266,0.284,7.2,31.0,41.6,197.6,41.60000000000001,40.0,30.0,141.8,3330.0,8.66,13.8,50.56,-818382.16,-180.9412,4.4964,4.4,14.6,49.6,multiphase
22.4,1.612,0.512,4.56,28.0,34.2,159.8,43.76000000000001,36.0,27.8,127.6,1781.6,28.8,23.0,48.48,-620230.42,-175.9482,14.3822,3.666666666666667,5.600000000000001,25.40000000000001,spinel
24.0,1.291,0.262,3.18,97.5,20.8,86.0,31.96666666666667,14.0,84.5,154.2,3073.0,5000.0,7.0,45.2,-1793682.4,-293.9765,10.684,2.833333333333333,28.5,50.10000000000001,pyrochlore
22.4,1.642,0.446,4.100000000000001,28.0,33.2,154.8,43.76000000000001,36.0,27.8,128.6,1781.6,28.8,23.0,48.52,-450821.78,-109.7254,14.3822,3.066666666666666,6.0,26.6,spinel
12.86,1.632,0.512,4.100000000000001,28.0,33.2,155.4,42.52,36.0,27.8,129.6,1780.0,28.8,23.0,48.52,-450821.78,-109.7254,14.3822,3.166666666666667,6.0,26.4,spinel
22.4,1.65,0.512,4.100000000000001,28.0,33.2,156.8,43.76000000000001,36.0,27.8,127.6,1781.6,28.8,23.0,48.56,-450821.78,-109.7254,14.3822,3.166666666666667,5.600000000000001,26.0,spinel
21.23121,1.658495,0.853248,5.399459999999999,44.9955,50.6616,156.016,42.93803999999999,59.994,41.9958,127.3462,2966.37,24.0048,24.9975,48.47156,-375759.9536299999,-128.6468007,11.9875637,3.05561110555611,8.998200179982002,26.16658334166583,spinel
27.30182,1.664615,1.097216,6.943319999999999,57.861,65.1472,155.46,42.35168,77.148,54.0036,127.1684,3814.54,20.5776,32.145,48.40971999999999,-390043.52974,-165.4305994,10.2760819,2.97623808571619,11.56988602279544,26.28564287142571,spinel
31.85,1.66875,1.28,8.1,67.5,76.0,155.0,41.9,90.0,63.0,127.0,4450.0,18.0,37.5,48.35,-455020.45,-192.9895,8.988875,2.916666666666667,13.5,26.375,spinel
10.61879,1.525305,0.426752,3.11729,25.005,29.3392,155.3644,33.95123333333333,30.006,23.1713,131.1929,1483.63,24.0048,13.6694,40.70258333333333,-317468.18094,-91.4561209,4.0163031,2.888888888888889,5.0,23.66666666666666,spinel
10.0,1.142,0.18,5.100000000000001,37.0,49.40000000000001,178.8,38.8,22.0,30.0,59.6,2662.0,26.2,6.600000000000001,54.56,-727860.78,-119.8624,7.6494,3.500000000000001,14.4,58.60000000000001,fluorite
12.86,1.546,0.512,4.100000000000001,30.0,33.2,156.0,42.52,36.0,27.8,129.4,1780.0,28.8,23.0,49.0,-450821.78,-109.7254,14.3822,3.166666666666667,5.4,22.8,spinel
23.68,1.618,0.512,3.44,30.0,30.4,146.6,41.28000000000001,36.0,27.6,129.2,1784.0,1.44,15.2,48.32000000000001,-240601.72,-77.1958,1.71504,2.1,6.0,25.2,rock salt
10.0,1.118,0.18,4.2,37.0,47.6,177.8,37.68000000000001,8.200000000000001,32.4,62.0,1580.2,26.2,6.600000000000001,55.24000000000001,-762119.38,-119.2048,5.7538,3.300000000000001,12.8,52.60000000000001,fluorite
20.55,1.154,0.45,10.5,77.5,103.0,191.9,31.86666666666667,4.100000000000001,74.0,107.1,3255.5,21.65,16.5,44.9,-548729.9,-96.7685,2.8769,3.5,20.0,48.2,pyrochlore
23.68,1.618,0.512,3.44,30.0,30.4,146.6,41.28000000000001,36.0,27.6,129.2,1784.0,1.44,15.2,48.32,-240601.72,-77.1958,1.71504,2.1,6.0,25.2,rock salt
20.55,1.154,0.45,10.5,77.5,103.0,191.9,31.86666666666667,4.100000000000001,74.0,107.1,3255.5,21.65,16.5,44.9,-548729.9,-96.7685,2.8769,3.5,20.0,48.2,pyrochlore
9.12,1.228,0.545,9.35,70.0,88.0,187.9,31.5,55.0,68.0,154.4,2253.5,20.0,22.0,38.81666666666667,-472374.45,-92.6665,3.6542,3.0,11.0,31.8,perovskite
5.960000000000001,1.165,0.545,9.35,70.0,88.0,171.3,34.53333333333333,55.0,68.0,154.7,2253.5,20.0,22.0,43.15,-472374.45,-92.6665,2.1368,3.0,11.0,28.4,perovskite
22.4,1.67,0.512,3.44,28.0,32.2,152.0,42.36,36.0,27.8,128.4,1781.6,28.8,16.4,48.32000000000001,-380885.64,-109.7254,4.8186,2.666666666666667,6.0,27.2,spinel
12.86,1.632,0.512,4.100000000000001,28.0,33.2,155.4,42.52,36.0,27.8,129.6,1780.0,28.8,23.0,48.52,-450821.78,-109.7254,14.3822,3.166666666666667,6.0,26.4,spinel
25.0,1.08,0.08125,2.75,92.5,27.75,80.0,39.575,11.0,21.125,41.375,3344.5,37.0,7.0,57.35,-544961.1,-106.0585,4.5095,3.25,29.0,57.25,fluorite
25.0,1.08375,0.08125,2.75,92.5,28.5,82.75,39.575,11.0,21.125,41.375,3344.5,37.0,7.0,57.0,-544961.1,-106.0585,4.5095,3.25,29.0,58.0,fluorite
22.4,1.65,0.512,4.100000000000001,28.0,33.2,156.8,43.76000000000001,36.0,27.8,127.6,1781.6,28.8,23.0,48.56,-450821.78,-109.7254,14.3822,3.166666666666667,5.600000000000001,26.0,spinel
27.30182,1.694624,1.097216,6.943319999999999,57.861,65.1472,150.4585,41.23706,77.148,54.0036,129.5977,3814.54,20.5776,32.145,48.06676,-390043.52974,-165.4305994,3.2828417,2.547623808571619,11.56988602279544,27.57148570285943,spinel
22.4,1.65,0.512,4.100000000000001,28.0,33.2,156.8,43.76000000000001,36.0,27.8,127.6,1781.6,28.8,23.0,48.56,-450821.78,-109.7254,14.3822,3.166666666666667,5.600000000000001,26.0,spinel
20.55,1.151,0.45,10.5,77.5,103.0,170.7,31.86666666666667,3.8,74.0,90.9,3255.5,21.65,16.5,45.11666666666667,-548729.9,-96.7685,2.8769,3.55,20.0,50.1,pyrochlore
23.68,1.66,0.4400000000000001,4.100000000000001,28.0,33.2,155.4,45.00000000000001,36.0,27.8,130.0,1784.0,28.8,23.0,48.48,-450821.78,-109.7254,14.3822,3.066666666666666,5.800000000000001,26.4,spinel
12.5,1.15125,0.225,6.375,46.25,52.0,156.875,39.575,27.5,37.5,96.25,3327.5,18.5,8.25,53.175,-454912.9875,-71.733875,1.331775,3.5,18.0,53.0,fluorite
12.5,1.18625,0.225,6.375,46.25,52.0,154.625,38.8,27.5,37.5,91.5,3327.5,18.5,8.25,52.775,-454912.9875,-71.733875,1.331775,3.75,18.0,53.25,fluorite
16.7,1.23875,0.2675,6.375,46.25,52.0,146.5,39.625,27.5,37.5,88.375,3327.5,12500.0,8.25,52.1,-454912.9875,-71.733875,1.331775,3.25,18.0,52.25,fluorite
52.2704,1.683175,0.905398,8.027239999999999,63.0045,69.5383,154.1838,44.16904,84.006,56.4707,125.3868,4157.3636,19.1952,35.4692,48.36844,-300472.71637,-89.2129719,9.5857363,2.777661099443277,13.06890689068907,26.66686668666867,spinel
